Campaign,Ad Group,Keyword,Match Type,Geo Target,Intent,Priority,Landing Page,Notes
Authority / Brand Reach,Whole Home Remodel,whole home remodel san francisco,Exact,San Francisco,Transactional,High,/services/whole-home,Core service term
Authority / Brand Reach,Whole Home Remodel,whole home remodel san francisco,Phrase,San Francisco,Transactional,High,/services/whole-home,Core service term
Authority / Brand Reach,Whole Home Remodel,whole home remodel san francisco,Broad Modified,San Francisco,Transactional,High,/services/whole-home,Core service term
Authority / Brand Reach,Whole Home Remodel,complete home renovation san francisco,Exact,San Francisco,Transactional,High,/services/whole-home,Alternative phrasing
Authority / Brand Reach,Whole Home Remodel,complete home renovation san francisco,Phrase,San Francisco,Transactional,High,/services/whole-home,Alternative phrasing
Authority / Brand Reach,Whole Home Remodel,full house remodel sf,Exact,San Francisco,Transactional,Medium,/services/whole-home,SF abbreviation variant
Authority / Brand Reach,Whole Home Remodel,full house remodel sf,Phrase,San Francisco,Transactional,Medium,/services/whole-home,SF abbreviation variant
Authority / Brand Reach,Whole Home Remodel,end to end home renovation san francisco,Exact,San Francisco,Transactional,Medium,/services/whole-home,Value proposition alignment
Authority / Brand Reach,Kitchen Remodel,kitchen remodel san francisco,Exact,San Francisco,Transactional,High,/services/kitchen,Core service term
Authority / Brand Reach,Kitchen Remodel,kitchen remodel san francisco,Phrase,San Francisco,Transactional,High,/services/kitchen,Core service term
Authority / Brand Reach,Kitchen Remodel,kitchen remodel san francisco,Broad Modified,San Francisco,Transactional,High,/services/kitchen,Core service term
Authority / Brand Reach,Kitchen Remodel,kitchen renovation sf,Exact,San Francisco,Transactional,High,/services/kitchen,SF abbreviation variant
Authority / Brand Reach,Kitchen Remodel,kitchen renovation sf,Phrase,San Francisco,Transactional,High,/services/kitchen,SF abbreviation variant
Authority / Brand Reach,Kitchen Remodel,luxury kitchen remodel san francisco,Exact,San Francisco,Transactional,High,/services/kitchen,Premium modifier
Authority / Brand Reach,Kitchen Remodel,luxury kitchen remodel san francisco,Phrase,San Francisco,Transactional,High,/services/kitchen,Premium modifier
Authority / Brand Reach,Kitchen Remodel,kitchen contractor san francisco,Exact,San Francisco,Transactional,Medium,/services/kitchen,Contractor focus
Authority / Brand Reach,Kitchen Remodel,kitchen contractor san francisco,Phrase,San Francisco,Transactional,Medium,/services/kitchen,Contractor focus
